@relation 'GroupOfVocabularyRichness: -C 6'
@attribute anger_class {0.0,1.0}
@attribute disgust_class {0.0,1.0}
@attribute fear_class {0.0,1.0}
@attribute sadness_class {0.0,1.0}
@attribute surprise_class {0.0,1.0}
@attribute happiness_class {0.0,1.0}
@attribute honoreRMeasure numeric
@attribute sichelSMeasure numeric
@attribute brunetWMeasure numeric
@attribute yuleKMeasure numeric
@attribute simpsonDMeasure numeric
@attribute hapaxLegomena numeric
@data
0.0,0.0,0.0,1.0,0.0,0.0,831.7766166719343,0.3333333333333333,6.285111269312285,312.5,0.03333333333333333,8.0
0.0,0.0,0.0,1.0,0.0,1.0,1167.5460894331882,0.16666666666666666,4.249608546803155,408.1632653061224,0.047619047619047616,5.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,1.0,0.0,0.0,0.0,2733.3973147667994,0.09090909090909091,5.319268784133835,138.88888888888889,0.015151515151515152,10.0
1.0,1.0,0.0,0.0,0.0,0.0,1242.4533248940004,0.2,5.462420810756662,277.77777777777777,0.030303030303030304,8.0
0.0,0.0,1.0,1.0,0.0,0.0,1538.0572041353532,0.0,4.916308313338444,740.7407407407406,0.08333333333333333,6.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.50473202950326,0.0,0.0,14.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.60764272735152,0.0,0.0,9.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.4324978614603396,0.0,0.0,5.0
0.0,0.0,0.0,1.0,1.0,0.0,358.351893845611,0.5,4.1562774580145785,1111.111111111111,0.13333333333333333,2.0
0.0,0.0,0.0,1.0,0.0,1.0,2158.105745518533,0.0,5.297534140955068,495.86776859504135,0.05454545454545454,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.822608767619865,0.0,0.0,10.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.193743719161336,0.0,0.0,12.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
1.0,0.0,0.0,1.0,0.0,0.0,2821.4442932076895,0.0,5.613487444149684,355.0295857988166,0.038461538461538464,10.0
0.0,0.0,0.0,0.0,0.0,0.0,3430.7745284998377,0.07692307692307693,5.621750918998886,102.0408163265306,0.01098901098901099,12.0
1.0,1.0,1.0,1.0,0.0,0.0,4158.883083359673,0.06666666666666667,5.880117198055527,78.125,0.008333333333333333,14.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8553369993343403,0.0,0.0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.010891945817135,0.0,0.0,4.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.097610988389885,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.016901078950375,0.0,0.0,11.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.010891945817135,0.0,0.0,4.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.822608767619865,0.0,0.0,10.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.193743719161336,0.0,0.0,12.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.010891945817135,0.0,0.0,4.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4994478948261802,0.0,0.0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,895.8797346140277,0.2,3.9471686391137224,555.5555555555555,0.06666666666666667,4.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.010891945817135,0.0,0.0,4.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.60764272735152,0.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50473202950326,0.0,0.0,14.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.642566869417948,0.0,0.0,15.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4994478948261802,0.0,0.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4994478948261802,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,1.0,3430.7745284998377,0.07692307692307693,5.621750918998886,102.0408163265306,0.01098901098901099,12.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.367825379081217,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.193743719161336,0.0,0.0,12.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.822608767619865,0.0,0.0,10.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.60764272735152,0.0,0.0,9.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
0.0,0.0,0.0,1.0,1.0,0.0,659.7643324038145,0.4,6.069161475331095,408.1632653061224,0.04395604395604396,6.0
0.0,0.0,0.0,0.0,0.0,0.0,3430.7745284998377,0.07692307692307693,5.621750918998886,102.0408163265306,0.01098901098901099,12.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.822608767619865,0.0,0.0,10.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4324978614603396,0.0,0.0,5.0
0.0,0.0,0.0,1.0,1.0,0.0,2072.3265836946402,0.1111111111111111,4.957853520581616,200.0,0.022222222222222223,8.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7894180590929984,0.0,0.0,6.0
